Japanese Kokeshi Museum," Naruko Onsen, Japan", private museum 
Warfare And Violent Conflict ,Wake Forrest University,student exhibit
The British Museum in London,"London, England",private museum 
Museum of Anthropology,Wake Forrest University,private exhibit
Neues Museum ,"Berlin, Germany ",private museum 
Professpor Deacon's Cultural Cabinet,Wake Forrest University,free exhibit
National Museum of American History,"Washington, DC",national museum
National Museum of the American Indian,"New York, NY",national museum
Smithsonian Castle,"Washington, DC",private exhibit
National Museum of African American History and Culture,"Washington, DC",national museum
National Air and Space Museum,"Washington, DC",national museum
Hirshhorn Museum and Sculpture Garden,"Washington, DC",art museum
Freer Gallery of Art and Arthur M. Sackler Gallery,"Washington, DC",art gallery
Maxwell Museum of Anthropology,"Albuquerque, New Mexico",public museum 
Peabody Museum of Archaeology,"Cambridge, Massachusetts ", public museum 
Metropolitan Museum of Art,"New York City, New York",private museum 
Acropolis Museum,"Athens, Greece",archaeological museum
Penn Museum ,"Philadelphia, Pennsylvania",archaeological museum
